14. Ms 26:1-257
[Bäck, Abraham]
Brev från åtskilliga.
200. Sparre, F., odat.
201. Sparrman, ), 1793.
202-206. Stapelmohr, M., 1770-90.
207. Stiermcrona, A., 1789.
208. Stridsberg, C., 1789.
209-212. Sundius, P.O., 1781-94.
213. Svedelius, G., 1788.
214. Söderberg, D.H., 1777.
215. Tanck, H.J., 1781.
216-217. Tangmalm, P.G., 1793-94.
218-221. Thunberg, C.P., 1784-91, 1 odat.
